type,dept_code,acc_code,acrl_code
Spares,SAE,94220,34450
Operations,OPN,94500,34450
Repairs,RAE,94320,34450
Survey/Annual fee,TCF,94274,34450
Repairs,100,94315,34450
Lubricants,LUB,95040,34460
MOC Requirement,MOC,94400,34450
Spares,SME,94221,34450
Spares,SDK,94210,34450
Spares,SBR,94223,34450
Repairs,AUT,94324,34450
Stores,WS,94180,34440
Stores,CP,94250,34450
Stores,PT,94160,34440
Repairs,RBR,94323,34450
Stores,CS,94130,34440
Spares,SAX,94222,34450
Stores,CTR,94110,34440
Others,MED,94110,34440
Repairs,UWI,94375,34450
Stores,RST,94140,34440
Lubricants,LB,95040,34460
Others,S,null,34450
Repairs,RRA,94340,34450
Stores,DS,94110,34440
Stores,ENG,94120,34440
Provisions,PR,92010,34420
Repairs,RME,94321,34450
Survey/Annual fee,QA,94273,34450
Repairs,LT,94318,34450
Repairs,RAX,94322,34450
Repairs,ENC,94370,34450
Repairs,ELR,94325,34450
Spares,SRA,94240,34450
Stores,NAV,94140,34440
Stores,ST,94110,34440
Spares,RNO,94218,34450
Stores,WR,94150,34440
Spares,RNG,94217,34450
Spares,FSP,94260,34450
Spares,CAP,94250,34450
Crew,BS,93080,34430
Stores,FST,94187,34440
Repairs,LRS,94317,34450
Spares,RND,94216,34450
Repairs,RDK,94310,34450
Stores,ELE,94120,34440
Stores,LSA,94110,34440
Stores (Special),FOM,94192,34440
Others,MIS,94250,34450
Stores,CHM,94186,34440
Spares,SPR,94222,34450
Certificate,TEC,94275,34450
